,lokasi,harga,kamar,luas_bangunan,luas_lahan,longitude,latitude
0,Ngaliyan,700000000.0,2,50,133,110.32811600554784,-6.99605755
1,Ngaliyan,985000000.0,3,75,123,110.32811600554784,-6.99605755
2,Semarang,1700000000.0,4,300,145,110.4229104,-6.9903987999999995
3,Banyumanik,425000000.0,1,67,102,110.42012735052951,-7.06802325
4,Tlogosari,385000000.0,2,70,63,110.4706497,-6.9874018
6,Rejosari,1800000000.0,4,120,180,110.4383227,-6.979735099999999
7,Rejosari,1600000000.0,3,150,180,110.4383227,-6.979735099999999
8,Semarang,1500000000.0,4,120,160,110.4229104,-6.9903987999999995
9,Ngaliyan,575000000.0,2,45,100,110.32811600554784,-6.99605755
13,Plamongansari,700000000.0,2,80,126,110.48603882799999,-7.0240899500000005
15,Rejosari,1800000000.0,3,120,180,110.4383227,-6.979735099999999
16,Semarang,1400000000.0,5,189,189,110.4229104,-6.9903987999999995
18,Candisari,3000000000.0,3,200,230,110.4308380541579,-7.01431585
19,Genuk,390000000.0,2,36,71,110.47772717287395,-6.9655030500000015
20,Pudakpayung,1105000000.0,3,60,152,110.4096871,-7.094523
23,Tembalang,1150000000.0,3,50,120,110.45952907126915,-7.04583375
26,Semarang,2600000000.0,4,290,212,110.4229104,-6.9903987999999995
27,Semarang,600000000.0,4,150,100,110.4229104,-6.9903987999999995
28,Ngaliyan,1195000000.0,3,75,121,110.32811600554784,-6.99605755
32,Tlogosari,599000000.0,3,75,102,110.4706497,-6.9874018
33,Semarang,3500000000.0,4,300,230,110.4229104,-6.9903987999999995
34,Kembangarum,3500000000.0,4,160,230,110.3743815,-6.9959484
36,Sendangmulyo,575000000.0,2,93,93,110.4749403,-7.0405218
37,Ngaliyan,1700000000.0,5,220,190,110.32811600554784,-6.99605755
39,Banyumanik,1700000000.0,4,160,173,110.42012735052951,-7.06802325
41,Semarang,1250000000.0,2,70,120,110.4229104,-6.9903987999999995
43,Semarang,1150000000.0,5,184,123,110.4229104,-6.9903987999999995
46,Tawangsari,1600000000.0,5,135,223,110.38756670000001,-6.9692814
48,Semarang,795000000.0,4,97,123,110.4229104,-6.9903987999999995
50,Semarang,1650000000.0,3,180,90,110.4229104,-6.9903987999999995
51,Ngaliyan,750000000.0,2,80,200,110.32811600554784,-6.99605755
54,Sendangmulyo,565000000.0,2,65,120,110.4749403,-7.0405218
56,Semarang,1205000000.0,3,75,121,110.4229104,-6.9903987999999995
57,Banyumanik,540000000.0,3,60,80,110.42012735052951,-7.06802325
58,Semarang,2000000000.0,3,200,180,110.4229104,-6.9903987999999995
59,Ngaliyan,650000000.0,2,42,120,110.32811600554784,-6.99605755
61,Lamper,2600000000.0,5,220,200,110.4442827,-7.006344400000001
63,Semarang,850000000.0,5,100,100,110.4229104,-6.9903987999999995
64,Semarang,1450000000.0,3,145,140,110.4229104,-6.9903987999999995
